,Date,Count
0,22/07/01 00:00:00,362
1,22/07/01 01:00:00,486
2,22/07/01 02:00:00,363
3,22/07/01 03:00:00,225
4,22/07/01 04:00:00,116
5,22/07/01 05:00:00,416
6,22/07/01 06:00:00,1050
7,22/07/01 07:00:00,2119
8,22/07/01 08:00:00,4318
9,22/07/01 09:00:00,4097
10,22/07/01 10:00:00,2536
11,22/07/01 11:00:00,3749
12,22/07/01 12:00:00,2940
13,22/07/01 13:00:00,2380
14,22/07/01 14:00:00,2359
15,22/07/01 15:00:00,1691
16,22/07/01 16:00:00,1171
17,22/07/01 17:00:00,826
18,22/07/01 18:00:00,287
19,22/07/01 19:00:00,58
20,22/07/01 20:00:00,300
21,22/07/01 21:00:00,366
22,22/07/01 22:00:00,243
23,22/07/01 23:00:00,200
24,22/07/02 00:00:00,274
25,22/07/02 01:00:00,196
26,22/07/02 02:00:00,202
27,22/07/02 03:00:00,229
28,22/07/02 04:00:00,141
29,22/07/02 05:00:00,347
30,22/07/02 06:00:00,1391
31,22/07/02 07:00:00,2421
32,22/07/02 08:00:00,2978
33,22/07/02 09:00:00,1932
34,22/07/02 10:00:00,1445
35,22/07/02 11:00:00,1323
36,22/07/02 12:00:00,1504
37,22/07/02 13:00:00,1353
38,22/07/02 14:00:00,1097
39,22/07/02 15:00:00,756
40,22/07/02 16:00:00,520
41,22/07/02 17:00:00,426
42,22/07/02 18:00:00,152
43,22/07/02 19:00:00,72
44,22/07/02 20:00:00,218
45,22/07/02 21:00:00,247
46,22/07/02 22:00:00,215
47,22/07/02 23:00:00,142
48,22/07/03 00:00:00,149
49,22/07/03 01:00:00,144
50,22/07/03 02:00:00,77
51,22/07/03 03:00:00,62
52,22/07/03 04:00:00,12
53,22/07/03 05:00:00,39
54,22/07/03 06:00:00,288
55,22/07/03 07:00:00,378
56,22/07/03 08:00:00,273
57,22/07/03 09:00:00,409
58,22/07/03 10:00:00,599
59,22/07/03 11:00:00,615
60,22/07/03 12:00:00,680
61,22/07/03 13:00:00,351
62,22/07/03 14:00:00,442
63,22/07/03 15:00:00,245
64,22/07/03 16:00:00,193
65,22/07/03 17:00:00,259
66,22/07/03 18:00:00,90
67,22/07/03 19:00:00,58
68,22/07/03 20:00:00,42
69,22/07/03 21:00:00,68
70,22/07/03 22:00:00,54
71,22/07/03 23:00:00,48
72,22/07/04 00:00:00,50
73,22/07/04 01:00:00,70
74,22/07/04 02:00:00,48
75,22/07/04 03:00:00,39
76,22/07/04 04:00:00,12
77,22/07/04 05:00:00,33
78,22/07/04 06:00:00,149
79,22/07/04 07:00:00,401
80,22/07/04 08:00:00,317
81,22/07/04 09:00:00,293
82,22/07/04 10:00:00,166
83,22/07/04 11:00:00,168
84,22/07/04 12:00:00,181
85,22/07/04 13:00:00,293
86,22/07/04 14:00:00,223
87,22/07/04 15:00:00,139
88,22/07/04 16:00:00,162
89,22/07/04 17:00:00,186
90,22/07/04 18:00:00,107
91,22/07/04 19:00:00,43
92,22/07/04 20:00:00,70
93,22/07/04 21:00:00,88
94,22/07/04 22:00:00,41
95,22/07/04 23:00:00,71
96,22/07/05 00:00:00,91
97,22/07/05 01:00:00,259
98,22/07/05 02:00:00,201
99,22/07/05 03:00:00,62
100,22/07/05 04:00:00,50
101,22/07/05 05:00:00,324
102,22/07/05 06:00:00,825
103,22/07/05 07:00:00,1897
104,22/07/05 08:00:00,4415
105,22/07/05 09:00:00,4780
106,22/07/05 10:00:00,2867
107,22/07/05 11:00:00,3933
108,22/07/05 12:00:00,3318
109,22/07/05 13:00:00,2873
110,22/07/05 14:00:00,2657
111,22/07/05 15:00:00,1660
